Player,stats_standard_Nation,stats_standard_Squad,stats_standard_Position,stats_standard_Current age,stats_standard_Matches Played,stats_standard_Minutes,stats_standard_Goals,stats_standard_Assists,stats_standard_Yellow Cards,stats_standard_Red Cards,stats_standard_xG: Expected Goals,stats_standard_xAG: Exp. Assisted Goals,stats_standard_Progressive Carries,stats_standard_Progressive Passes,stats_standard_Progressive Passes Rec,stats_standard_Goals/90,stats_standard_Assists/90,stats_standard_xG/90,stats_standard_xAG/90,stats_shooting_Shots on Target %,stats_shooting_Shots on target/90,stats_shooting_Goals/Shot,stats_shooting_Average Shot Distance,stats_passing_Passes Completed,stats_passing_Pass Completion %,stats_passing_Total Passing Distance,stats_passing_Passes Completed (Short),stats_passing_Pass Completion % (Medium),stats_passing_Pass Completion % (Long),stats_passing_Key Passes,stats_passing_Passes into Final Third,stats_passing_Passes into Penalty Area,stats_passing_Crosses into Penalty Area,stats_passing_Progressive Passes,stats_gca_Shot-Creating Actions,stats_gca_Shot-Creating Actions/90,stats_gca_Goal-Creating Actions,stats_gca_Goal-Creating Actions/90,stats_defense_Tackles,stats_defense_Tackles Won,stats_defense_Dribbles Challenged,stats_defense_Challenges Lost,stats_defense_Blocks,stats_defense_Shots Blocked,stats_defense_Passes Blocked,stats_defense_Interceptions,stats_possession_Touches,stats_possession_Touches (Def Pen),stats_possession_Touches (Def 3rd),stats_possession_Touches (Mid 3rd),stats_possession_Touches (Att 3rd),stats_possession_Touches (Att Pen),stats_possession_Take-Ons Attempted,stats_possession_Successful Take-On %,stats_possession_Tackled During Take-On Percentage,stats_possession_Carries,stats_possession_Progressive Carrying Distance,stats_possession_Progressive Carries,stats_possession_Carries into Final Third,stats_possession_Carries into Penalty Area,stats_possession_Miscontrols,stats_possession_Dispossessed,stats_possession_Passes Received,stats_possession_Progressive Passes Rec,stats_misc_Yellow Cards,stats_misc_Red Cards,stats_misc_Fouls Committed,stats_misc_Fouls Drawn,stats_misc_Offsides,stats_misc_Crosses,stats_misc_Ball Recoveries,stats_misc_Aerials Won,stats_misc_Aerials Lost,stats_misc_% of Aerials Won,stats_keeper_Goals Against/90,stats_keeper_Save Percentage,stats_keeper_Clean Sheet Percentage,stats_keeper_Save% (Penalty Kicks)
Tyler Adams,usUSA,Bournemouth,MF,26-083,25,1710,0,3,7,0,1.6,1,12,65,9,0,0.16,0.08,0.05,25,0.11,0,16.1,757,83.6,11872,368,88,54.7,16,57,2,1,65,37,1.95,4,0.21,75,46,66,31,33,10,23,32,1151,53,308,661,194,17,16,18.8,56.3,554,1183,12,17,1,27,12,630,9,7,0,41,19,0,3,100,29,17,63,N/a,N/a,N/a,N/a
Tyler Dibling,engENG,Southampton,"FW,MF",19-057,31,1742,2,0,6,0,2.5,1.5,68,61,93,0.1,0,0.13,0.08,32.1,0.46,0.07,19.3,472,80.7,7050,267,85.1,43.5,20,25,20,1,61,56,2.89,4,0.21,34,20,26,10,19,5,14,8,823,25,110,372,360,41,104,42.3,36.5,533,2129,68,49,26,41,53,617,93,6,0,28,49,2,28,75,10,21,32.3,N/a,N/a,N/a,N/a
Tyler Fredricson,engENG,Manchester Utd,DF,20-074,2,165,0,0,0,0,0,0,2,8,0,0,0,0,0,N/a,0,N/a,N/a,110,90.2,1932,47,91.5,88.9,0,8,0,0,8,3,1.63,0,0,5,3,2,1,2,0,2,1,141,11,64,68,9,1,1,100,0,86,114,2,1,0,2,0,95,0,0,0,0,2,0,0,12,7,5,58.3,N/a,N/a,N/a,N/a
Tyrell Malacia,nlNED,Manchester Utd,DF,25-264,3,100,0,0,1,0,0,0,3,3,6,0,0,0,0.03,N/a,0,N/a,N/a,49,89.1,642,31,92.9,100,1,7,1,0,3,2,1.8,0,0,2,1,2,1,0,0,0,1,62,2,20,27,15,0,1,100,0,37,118,3,2,0,1,2,43,6,1,0,3,2,0,1,3,0,0,N/a,N/a,N/a,N/a,N/a
Tyrick Mitchell,engENG,Crystal Palace,DF,25-249,35,2942,0,4,2,0,1.2,5.7,56,64,166,0,0.12,0.04,0.18,18.2,0.06,0,13.4,929,72.3,14968,484,75.1,42.2,38,46,32,15,64,69,2.11,6,0.18,87,54,42,20,62,12,50,14,1656,108,573,637,459,42,33,39.4,48.5,766,1590,56,33,9,36,28,850,166,2,0,20,24,2,100,156,18,21,46.2,N/a,N/a,N/a,N/a
Tyrique George,engENG,Chelsea,FW,19-093,7,103,1,1,1,0,0.2,0.7,9,2,18,0.87,0.87,0.17,0.63,33.3,0.87,0.33,15,38,82.6,494,21,82.4,0,5,0,1,0,2,6,5.24,1,0.87,2,0,3,1,0,0,0,1,56,1,10,14,33,8,4,75,25,38,208,9,1,5,1,0,44,18,1,0,2,0,1,3,3,0,3,0,N/a,N/a,N/a,N/a
Tyrone Mings,engENG,Aston Villa,DF,32-056,13,1051,0,0,1,0,0.8,0.2,6,39,0,0,0,0.07,0.02,11.1,0.09,0,11.8,581,88.6,10405,227,94.3,54,3,47,5,0,39,17,1.45,2,0.17,6,5,2,0,13,11,2,7,767,139,388,340,43,15,2,100,0,472,1333,6,12,0,3,1,523,0,1,0,3,9,0,1,33,26,21,55.3,N/a,N/a,N/a,N/a
Valentino Livramento,engENG,Newcastle Utd,DF,22-177,34,2570,0,1,1,0,0.2,2.3,73,144,98,0,0.04,0.01,0.08,20,0.04,0,20.6,1278,85,18914,740,86.3,57,21,98,24,5,144,39,1.37,2,0.07,52,34,56,26,34,10,24,21,1796,108,572,822,427,33,48,43.8,41.7,935,2984,73,39,11,26,34,1041,98,1,0,6,34,2,45,173,23,31,42.6,N/a,N/a,N/a,N/a
Victor Bernth Kristiansen,dkDEN,Leicester City,DF,22-143,28,2380,0,1,1,0,0.3,1.4,39,69,75,0,0.04,0.01,0.05,0,0,0,17.7,1007,77.6,16181,510,80.1,41.4,18,74,23,18,69,41,1.55,3,0.11,85,50,87,40,37,14,23,40,1581,113,564,711,319,15,17,47.1,47.1,800,1806,39,25,5,13,12,872,75,1,0,17,17,3,96,97,19,42,31.1,N/a,N/a,N/a,N/a
Victor Lindelöf,seSWE,Manchester Utd,DF,30-295,13,485,0,0,1,0,0,0.1,1,10,1,0,0,0,0.01,N/a,0,N/a,N/a,205,93.2,3326,84,96.5,66.7,3,7,2,1,10,4,0.75,0,0,5,1,3,1,4,2,2,7,276,41,161,106,9,3,0,N/a,N/a,148,282,1,1,0,1,0,181,1,1,0,7,1,0,1,12,10,13,43.5,N/a,N/a,N/a,N/a
