Player,stats_standard_Nation,stats_standard_Squad,stats_standard_Position,stats_standard_Current age,stats_standard_Matches Played,stats_standard_Minutes,stats_standard_Goals,stats_standard_Assists,stats_standard_Yellow Cards,stats_standard_Red Cards,stats_standard_xG: Expected Goals,stats_standard_xAG: Exp. Assisted Goals,stats_standard_Progressive Carries,stats_standard_Progressive Passes,stats_standard_Progressive Passes Rec,stats_standard_Goals/90,stats_standard_Assists/90,stats_standard_xG/90,stats_standard_xAG/90,stats_shooting_Shots on Target %,stats_shooting_Shots on target/90,stats_shooting_Goals/Shot,stats_shooting_Average Shot Distance,stats_passing_Passes Completed,stats_passing_Pass Completion %,stats_passing_Total Passing Distance,stats_passing_Passes Completed (Short),stats_passing_Pass Completion % (Medium),stats_passing_Pass Completion % (Long),stats_passing_Key Passes,stats_passing_Passes into Final Third,stats_passing_Passes into Penalty Area,stats_passing_Crosses into Penalty Area,stats_passing_Progressive Passes,stats_gca_Shot-Creating Actions,stats_gca_Shot-Creating Actions/90,stats_gca_Goal-Creating Actions,stats_gca_Goal-Creating Actions/90,stats_defense_Tackles,stats_defense_Tackles Won,stats_defense_Dribbles Challenged,stats_defense_Challenges Lost,stats_defense_Blocks,stats_defense_Shots Blocked,stats_defense_Passes Blocked,stats_defense_Interceptions,stats_possession_Touches,stats_possession_Touches (Def Pen),stats_possession_Touches (Def 3rd),stats_possession_Touches (Mid 3rd),stats_possession_Touches (Att 3rd),stats_possession_Touches (Att Pen),stats_possession_Take-Ons Attempted,stats_possession_Successful Take-On %,stats_possession_Tackled During Take-On Percentage,stats_possession_Carries,stats_possession_Progressive Carrying Distance,stats_possession_Progressive Carries,stats_possession_Carries into Final Third,stats_possession_Carries into Penalty Area,stats_possession_Miscontrols,stats_possession_Dispossessed,stats_possession_Passes Received,stats_possession_Progressive Passes Rec,stats_misc_Yellow Cards,stats_misc_Red Cards,stats_misc_Fouls Committed,stats_misc_Fouls Drawn,stats_misc_Offsides,stats_misc_Crosses,stats_misc_Ball Recoveries,stats_misc_Aerials Won,stats_misc_Aerials Lost,stats_misc_% of Aerials Won,stats_keeper_Goals Against/90,stats_keeper_Save Percentage,stats_keeper_Clean Sheet Percentage,stats_keeper_Save% (Penalty Kicks)
Aaron Cresswell,engENG,West Ham,DF,35-144,15,676,0,0,2,0,0.1,1.1,4,28,2,0,0,0.01,0.15,0,0,0,29.8,415,81.5,7803,189,87.4,53.1,7,43,4,1,28,12,1.6,0,0,9,5,9,2,9,4,5,8,576,39,227,281,73,1,2,50,50,228,398,4,7,0,3,0,353,2,2,0,3,2,0,28,29,7,6,53.8,N/a,N/a,N/a,N/a
Aaron Ramsdale,engENG,Southampton,GK,26-359,27,2430,0,0,2,0,0,0,0,0,0,0,0,0,0,N/a,0,N/a,N/a,715,64.6,20052,199,96.2,38.6,0,33,1,0,0,3,0.11,0,0,0,0,2,2,0,0,0,2,1189,860,1166,26,0,0,0,N/a,N/a,723,2159,0,0,0,3,0,646,0,2,0,1,4,0,0,20,5,0,100,2.3,67.1,7.4,28.6
Aaron Wan-Bissaka,engENG,West Ham,DF,27-163,33,2884,2,3,1,0,1.2,3.2,101,132,150,0.06,0.09,0.04,0.1,31.3,0.16,0.13,15.1,1321,80.5,18817,846,81.1,46,30,89,32,11,132,85,2.65,8,0.25,64,45,27,7,32,9,23,60,2039,136,628,877,564,44,108,52.8,34.3,961,3383,101,59,13,31,21,1174,150,1,0,22,25,4,70,163,22,30,42.3,N/a,N/a,N/a,N/a
Abdoulaye Doucouré,mlMLI,Everton,MF,32-127,30,2425,3,1,5,1,3.9,2.3,40,78,91,0.11,0.04,0.14,0.09,31,0.33,0.1,13.8,676,79.6,10229,354,83.1,72.7,26,44,14,0,78,54,2,2,0.07,45,27,39,26,30,6,24,9,1090,31,218,502,385,59,43,53.5,46.5,571,1339,40,24,8,33,35,705,91,5,1,46,5,10,23,139,29,43,40.3,N/a,N/a,N/a,N/a
Abdukodir Khusanov,uzUZB,Manchester City,DF,21-068,6,503,0,0,1,0,0,0.1,1,25,2,0,0,0,0.02,0,0,0,23.9,360,91.1,6126,160,97,26.1,2,23,0,0,25,5,0.89,0,0,5,4,3,1,5,4,1,3,445,45,205,211,31,1,2,0,100,274,435,1,1,0,2,1,332,2,1,0,3,3,0,1,27,6,4,60,N/a,N/a,N/a,N/a
Abdul Fatawu Issahaku,ghGHA,Leicester City,FW,21-061,11,579,0,2,0,0,0.4,1.6,42,17,60,0,0.31,0.06,0.24,38.5,0.78,0,31.2,123,62.4,2150,59,76.3,48.5,6,7,7,2,17,17,2.64,3,0.47,21,15,19,8,7,0,7,4,326,19,73,114,157,26,69,42,40.6,217,1055,42,24,15,18,12,216,60,0,0,11,20,2,30,38,14,13,51.9,N/a,N/a,N/a,N/a
Adam Armstrong,engENG,Southampton,"FW,MF",28-087,20,1248,2,2,4,0,3.3,1.2,25,21,79,0.14,0.14,0.24,0.09,28,0.5,0.08,16.6,231,80.2,3320,138,85.3,46.2,9,10,8,2,21,19,1.37,4,0.29,12,3,14,11,6,1,5,3,377,11,44,143,192,49,14,42.9,57.1,235,599,25,13,6,11,18,286,79,4,0,12,5,9,14,23,5,9,35.7,N/a,N/a,N/a,N/a
Adam Lallana,engENG,Southampton,MF,36-363,14,361,0,2,4,0,0.2,0.9,6,24,10,0,0.5,0.04,0.23,0,0,0,18.1,221,85,2891,147,91,44.4,4,21,9,3,24,9,2.24,2,0.5,8,5,12,10,4,1,3,5,318,19,91,155,73,6,12,41.7,41.7,178,366,6,8,0,10,6,245,10,4,0,8,8,0,4,19,2,2,50,N/a,N/a,N/a,N/a
Adam Smith,engENG,Bournemouth,DF,34-009,22,1409,0,0,6,0,0.7,0.3,12,40,31,0,0,0.04,0.02,0,0,0,16.9,436,75.7,7088,213,78.1,37.5,7,41,8,5,40,20,1.28,2,0.13,21,10,25,13,12,5,7,14,707,39,217,332,162,6,15,40,40,305,585,12,15,0,10,6,333,31,6,0,15,11,0,30,43,12,13,48,N/a,N/a,N/a,N/a
Adam Webster,engENG,Brighton,DF,30-124,11,617,0,0,0,0,0,0.5,7,40,2,0,0,0,0.07,100,0.15,0,15.3,429,85.6,7934,169,91.8,50.6,3,32,2,0,40,10,1.46,3,0.44,8,5,11,6,12,9,3,14,569,84,279,271,22,8,3,33.3,66.7,326,1142,7,2,0,3,1,384,2,0,0,5,2,1,1,20,17,4,81,N/a,N/a,N/a,N/a
Adam Wharton,engENG,Crystal Palace,MF,20-340,20,1318,0,2,2,0,0.4,3,14,107,11,0,0.14,0.03,0.21,38.5,0.34,0,25.4,548,75.6,10271,208,80.1,65.4,26,78,18,5,107,59,4.03,6,0.41,34,14,44,27,11,2,9,20,871,30,204,462,212,11,10,20,80,430,1078,14,23,2,17,13,533,11,2,0,12,21,0,39,102,7,16,30.4,N/a,N/a,N/a,N/a
Adama Traoré,esESP,Fulham,"FW,MF",29-103,33,1592,2,6,3,0,3.9,4.7,89,61,145,0.11,0.34,0.22,0.27,29.7,0.62,0.05,14.3,386,72,6023,214,73.4,55.1,38,32,33,18,61,76,4.3,9,0.51,17,12,13,8,7,0,7,1,737,4,75,260,424,88,93,50.5,37.6,490,2268,89,42,33,34,21,556,145,3,0,20,29,1,92,78,24,26,48,N/a,N/a,N/a,N/a
Albert Grønbaek,dkDEN,Southampton,"FW,MF",23-350,4,143,0,0,0,0,0.1,0,1,1,3,0,0,0.07,0.01,0,0,0,22.4,13,72.2,135,9,50,N/a,1,2,0,0,1,2,1.26,0,0,4,1,10,7,1,1,0,0,38,2,9,14,15,2,4,0,100,18,15,1,0,1,5,4,21,3,0,0,0,1,0,1,6,2,0,100,N/a,N/a,N/a,N/a
Alejandro Garnacho,arARG,Manchester Utd,"MF,FW",20-311,34,2146,6,2,3,0,7.2,4.5,139,56,281,0.25,0.08,0.3,0.19,34.9,1.22,0.07,17.2,635,79.1,8921,395,82.9,60,35,21,24,4,56,81,3.4,6,0.25,29,18,36,24,19,0,19,13,1132,13,128,360,662,170,87,29.9,60.9,819,3176,139,72,66,63,48,864,281,3,0,12,41,10,52,108,3,23,11.5,N/a,N/a,N/a,N/a
Alex Iwobi,ngNGA,Fulham,"FW,MF",29-005,35,2796,9,6,1,0,4.6,6.9,135,199,224,0.29,0.19,0.15,0.22,44.4,0.9,0.14,18.2,1057,74.4,18132,526,77.7,53.8,56,107,78,17,199,115,3.7,16,0.52,39,23,30,11,25,1,24,13,1724,31,228,691,831,109,87,49.4,44.8,1218,4098,135,102,37,55,38,1345,224,1,0,17,17,5,120,126,6,31,16.2,N/a,N/a,N/a,N/a
Alex McCarthy,engENG,Southampton,GK,35-156,5,450,0,0,0,0,0,0,0,0,0,0,0,0,0,N/a,0,N/a,N/a,117,75,2823,41,91.8,49.2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,141,173,0,0,0,0,N/a,N/a,100,276,0,0,0,0,0,88,0,0,0,0,1,0,0,4,2,0,100,2.6,70.3,0,0
Alex Palmer,engENG,Ipswich Town,GK,28-271,11,990,0,0,2,0,0,0,0,1,0,0,0,0,0,N/a,0,N/a,N/a,241,67.7,7340,46,100,43.8,1,7,0,0,1,2,0.18,0,0,0,0,0,0,0,0,0,0,400,334,393,8,0,0,0,N/a,N/a,180,604,0,0,0,1,0,132,0,2,0,1,2,0,0,15,4,0,100,2.45,58.7,0,0
Alex Scott,engENG,Bournemouth,MF,21-260,18,709,0,0,2,0,0.7,0.8,15,49,33,0,0,0.08,0.11,38.5,0.63,0,20,265,83.1,4257,131,91.9,60.6,11,37,4,0,49,28,3.55,2,0.25,26,13,40,22,17,4,13,10,456,22,84,245,133,18,26,23.1,50,237,640,15,9,3,22,8,274,33,2,0,13,26,0,6,50,7,7,50,N/a,N/a,N/a,N/a
Alexander Isak,seSWE,Newcastle Utd,FW,25-229,32,2577,23,6,1,0,19.9,4.3,81,80,200,0.8,0.21,0.69,0.15,42,1.29,0.22,14.6,479,74.5,6849,285,77.4,63.2,41,33,26,1,80,89,3.11,14,0.49,12,5,13,8,18,2,16,3,960,20,55,361,558,178,88,47.7,50,574,1782,81,41,43,62,52,681,200,1,0,25,13,20,15,55,26,52,33.3,N/a,N/a,N/a,N/a
Alexis Mac Allister,arARG,Liverpool,MF,26-135,34,2575,5,5,6,0,2.8,4.6,34,174,79,0.17,0.17,0.1,0.16,34.2,0.45,0.13,18.1,1260,83.5,20147,650,88.4,55.7,44,121,34,2,174,119,4.16,15,0.52,95,58,104,49,61,6,55,22,1845,55,280,956,630,60,42,38.1,50,906,1961,34,42,5,31,22,1217,79,6,0,61,40,2,85,146,19,34,35.8,N/a,N/a,N/a,N/a
Ali Al Hamadi,iqIRQ,Ipswich Town,FW,23-068,11,134,0,0,3,0,0.4,0.1,4,3,14,0,0,0.24,0.05,0,0,0,15.7,25,83.3,278,20,71.4,N/a,2,0,0,0,3,8,5.37,0,0,1,0,2,2,0,0,0,0,53,2,6,20,30,9,7,57.1,42.9,29,111,4,3,4,7,4,36,14,3,0,8,3,1,0,4,5,9,35.7,N/a,N/a,N/a,N/a
Alisson,brBRA,Liverpool,GK,32-218,25,2238,0,0,0,0,0,0.6,0,0,0,0,0,0,0.02,N/a,0,N/a,N/a,681,83.6,14999,205,98.6,48.1,1,11,0,0,0,6,0.24,1,0.04,1,0,1,1,0,0,0,0,860,622,844,16,0,0,1,100,0,550,1284,0,0,0,1,0,525,0,0,0,0,2,0,0,42,6,0,100,0.92,71.4,36,0
Alphonse Areola,frFRA,West Ham,GK,32-070,24,2080,0,0,0,0,0,0,0,0,0,0,0,0,0,N/a,0,N/a,N/a,633,69.3,16971,137,95.3,42.2,0,10,0,0,0,3,0.13,0,0,2,2,3,1,0,0,0,0,967,769,958,10,0,0,0,N/a,N/a,553,1201,0,0,0,0,0,510,0,0,0,0,0,0,0,27,2,0,100,1.69,62.9,17.4,N/a
Altay Bayındır,trTUR,Manchester Utd,GK,27-024,2,180,0,0,0,0,0,0,0,0,0,0,0,0,0,N/a,0,N/a,N/a,61,55.5,1625,7,92.1,30.2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,120,103,118,2,0,0,0,N/a,N/a,82,145,0,0,0,0,0,77,0,0,0,0,0,0,0,0,1,1,50,4,33.3,0,N/a
Amad Diallo,ciCIV,Manchester Utd,"FW,MF",22-301,23,1639,7,6,3,0,4.2,4,93,55,163,0.38,0.33,0.23,0.22,32.6,0.77,0.16,18,676,82.9,9329,417,85.3,53.1,40,25,30,5,55,83,4.56,17,0.93,35,28,28,11,11,0,11,11,1042,13,154,381,523,112,77,49.4,45.5,678,2355,93,48,54,36,32,731,163,3,0,19,24,9,38,99,9,15,37.5,N/a,N/a,N/a,N/a
Amadou Onana,beBEL,Aston Villa,MF,23-265,23,1378,3,0,4,0,2.1,0.3,21,60,14,0.2,0,0.14,0.02,35.3,0.39,0.18,14.7,607,88.5,9552,312,89.8,73,8,56,9,1,60,27,1.76,4,0.26,47,24,26,12,14,6,8,24,858,62,233,506,133,21,17,64.7,17.6,468,1293,21,20,1,10,9,579,14,4,0,30,24,0,1,66,27,18,60,N/a,N/a,N/a,N/a
Andreas Pereira,brBRA,Fulham,MF,29-127,31,1879,2,4,7,0,3.5,4.5,27,99,78,0.1,0.19,0.17,0.21,22.9,0.38,0.06,22.1,641,68.9,11658,296,78.3,41,56,64,19,4,99,101,4.84,8,0.38,22,12,40,30,16,2,14,8,1096,17,156,446,511,39,29,44.8,27.6,556,1266,27,35,8,26,21,648,78,7,0,27,23,1,168,97,12,21,36.4,N/a,N/a,N/a,N/a
Andrew Robertson,sctSCO,Liverpool,DF,31-058,31,2308,0,0,3,1,1,4.1,58,165,95,0,0,0.04,0.16,15.4,0.08,0,14.5,1456,83,24521,713,86.8,46.8,38,144,28,16,165,75,2.92,3,0.12,38,22,47,17,9,4,5,20,1947,86,500,882,578,50,18,38.9,55.6,1028,2588,58,48,6,25,11,1302,95,3,1,11,8,2,136,91,6,12,33.3,N/a,N/a,N/a,N/a
André,brBRA,Wolves,MF,23-296,30,2249,0,0,7,0,0.4,0.7,8,95,11,0,0,0.02,0.03,11.1,0.04,0,25.3,1111,92.8,17503,568,95.4,80,15,101,4,0,95,45,1.8,3,0.12,80,48,57,25,41,8,33,32,1451,83,395,939,132,3,27,48.1,37,795,1440,8,14,0,27,17,973,11,7,0,34,32,0,0,176,2,6,25,N/a,N/a,N/a,N/a
André Onana,cmCMR,Manchester Utd,GK,29-036,33,2970,0,0,0,0,0,0.2,0,1,0,0,0,0,0.01,N/a,0,N/a,N/a,920,73.1,21868,218,99,36.3,1,24,0,0,1,4,0.12,0,0,1,1,3,2,0,0,0,0,1323,1005,1302,22,0,0,0,N/a,N/a,932,2615,0,0,0,1,0,810,0,0,0,0,2,0,0,33,6,0,100,1.3,69,27.3,25
Andrés García,esESP,Aston Villa,"DF,MF",22-090,7,318,0,0,0,0,0,0.2,26,15,28,0,0,0.01,0.05,0,0,0,26.6,174,86.6,2725,89,90.2,53.8,3,9,8,5,15,3,0.85,0,0,9,5,8,4,2,0,2,2,256,8,38,108,112,2,18,27.8,66.7,159,673,26,13,2,10,6,168,28,0,0,1,0,0,18,15,0,6,0,N/a,N/a,N/a,N/a
Andy Irving,sctSCO,West Ham,MF,24-360,10,166,0,0,2,0,0.1,0.2,0,9,4,0,0,0.06,0.13,50,1.08,0,26.2,109,87.9,1705,61,83.7,100,1,14,1,1,9,5,2.68,0,0,7,4,5,4,5,1,4,1,150,7,37,89,24,0,1,100,0,73,137,0,1,0,1,3,104,4,2,0,6,1,0,2,10,1,1,50,N/a,N/a,N/a,N/a
Anthony Elanga,seSWE,Nott'ham Forest,"FW,MF",23-011,35,2232,6,9,1,0,4.2,4.8,87,54,190,0.24,0.36,0.17,0.19,52.5,0.85,0.15,17.3,479,65.2,6909,289,64.1,33,44,29,24,7,54,89,3.59,14,0.57,18,13,17,12,11,1,10,6,1000,29,133,290,594,98,76,30.3,46.1,527,2268,87,42,42,70,39,672,190,1,0,8,36,15,156,84,24,34,41.4,N/a,N/a,N/a,N/a
Anthony Gordon,engENG,Newcastle Utd,FW,24-073,31,2235,6,5,2,0,8,4.9,111,93,197,0.24,0.2,0.32,0.2,28.6,0.64,0.09,16.8,671,73.3,10367,373,78.2,43.2,50,61,52,17,93,99,3.99,12,0.48,31,17,34,22,24,2,22,6,1178,16,115,444,638,123,96,36.5,46.9,758,3042,111,56,55,28,35,851,197,2,0,19,65,8,122,92,6,7,46.2,N/a,N/a,N/a,N/a
Antoine Semenyo,ghGHA,Bournemouth,FW,25-121,34,2933,9,5,9,0,9.3,5.8,133,106,259,0.28,0.15,0.29,0.18,31.4,1.14,0.08,17.2,737,73.2,10554,442,76.5,38.6,45,48,44,8,106,123,3.77,13,0.4,53,34,42,26,59,8,51,10,1503,44,187,526,824,176,125,51.2,41.6,904,3409,133,65,65,79,72,1041,259,9,0,66,36,14,52,150,61,72,45.9,N/a,N/a,N/a,N/a
Antonee Robinson,usUSA,Fulham,DF,27-273,34,2989,0,10,8,0,0.7,4.1,114,123,265,0,0.3,0.02,0.12,12.5,0.06,0,22.1,1523,76.6,26058,732,79,56.4,42,113,54,28,123,77,2.32,11,0.33,90,57,89,45,37,7,30,57,2404,128,765,911,763,67,78,43.6,42.3,1278,4057,114,60,29,41,18,1440,265,8,0,31,17,6,165,148,45,25,64.3,N/a,N/a,N/a,N/a
Antony,brBRA,Manchester Utd,"DF,MF",25-073,8,141,0,0,0,0,1,0.1,5,6,7,0,0,0.65,0.08,50,1.91,0,15.8,56,81.2,688,45,64.3,100,3,1,5,2,6,8,5.11,0,0,6,3,5,3,2,0,2,2,101,2,22,26,54,8,11,36.4,54.5,60,182,5,6,1,5,1,69,7,0,0,2,5,0,5,11,0,1,0,N/a,N/a,N/a,N/a
Antonín Kinský,czCZE,Tottenham,GK,22-056,4,360,0,0,0,0,0,0.1,1,1,0,0,0,0,0.02,N/a,0,N/a,N/a,116,80,2699,17,96.1,47.9,1,2,0,0,1,1,0.25,0,0,3,1,1,0,0,0,0,0,156,134,154,2,0,0,0,N/a,N/a,97,267,1,0,0,0,0,98,0,0,0,0,0,0,0,4,2,0,100,1.75,56.3,25,N/a
Archie Gray,engENG,Tottenham,"DF,MF",19-057,25,1481,0,0,0,0,0,0.1,6,34,15,0,0,0,0.01,100,0.06,0,24.6,939,88.2,16414,360,92.7,59.1,2,39,0,0,34,5,0.3,0,0,13,7,17,10,19,10,9,13,1179,139,564,537,88,2,11,54.5,36.4,816,1551,6,5,0,9,10,881,15,0,0,9,11,0,13,59,10,9,52.6,N/a,N/a,N/a,N/a
Arijanet Muric,xkKVX,Ipswich Town,GK,26-182,18,1620,0,0,1,0,0,0,0,1,0,0,0,0,0,N/a,0,N/a,N/a,454,71.7,11705,122,97.3,40.6,0,14,0,0,1,1,0.06,0,0,0,0,2,2,0,0,0,0,689,559,672,18,0,0,0,N/a,N/a,405,1178,0,0,0,3,1,321,0,1,0,0,4,0,0,26,11,1,91.7,1.83,70,5.6,0
Armando Broja,alALB,Everton,FW,23-240,10,334,0,0,1,0,0.1,0.2,12,2,26,0,0,0.03,0.05,0,0,0,17.3,53,72.6,594,35,83.3,66.7,4,3,0,0,2,7,1.89,0,0,3,1,0,0,3,0,3,1,127,4,14,47,72,18,16,50,43.8,64,281,12,8,3,16,13,94,26,1,0,6,4,3,1,9,18,21,46.2,N/a,N/a,N/a,N/a
Armel Bella Kotchap,deGER,Southampton,DF,23-148,4,331,0,0,0,0,0.3,0,0,5,0,0,0,0.09,0,0,0,0,9.1,202,90.2,3829,65,96.7,55.2,0,6,0,0,5,2,0.54,0,0,7,5,6,3,2,2,0,5,263,33,147,115,3,1,1,0,100,186,326,0,0,0,1,0,192,0,0,0,3,2,0,0,19,6,5,54.5,N/a,N/a,N/a,N/a
Ashley Young,engENG,Everton,"DF,FW",39-303,29,1622,1,3,6,1,0.3,1.6,20,83,27,0.06,0.17,0.01,0.09,50,0.17,0.17,24.5,610,69.9,11228,292,76,40.3,19,72,18,9,83,38,2.11,6,0.33,51,29,51,19,10,3,7,23,1043,52,316,452,280,9,15,33.3,46.7,415,1214,20,24,1,8,1,535,27,6,1,25,18,0,66,61,10,11,47.6,N/a,N/a,N/a,N/a
Axel Disasi,frFRA,Aston Villa,DF,27-058,7,490,0,0,2,0,0.1,0.4,10,16,5,0,0,0.02,0.07,0,0,0,19.5,243,86.8,4080,103,89.7,53.3,3,14,3,0,16,9,1.65,0,0,8,5,7,4,4,1,3,5,334,32,130,178,29,6,15,60,40,207,621,10,8,2,3,2,223,5,2,0,3,2,2,1,15,8,6,57.1,N/a,N/a,N/a,N/a
Axel Tuanzebe,cdCOD,Ipswich Town,DF,27-175,19,1446,0,1,5,1,0.2,0.3,9,46,8,0,0.06,0.01,0.02,0,0,0,15.7,538,83,8269,296,81.8,56.1,4,50,3,0,46,11,0.68,2,0.12,29,17,24,8,18,9,9,21,793,89,343,348,108,6,10,40,60,339,727,9,6,1,11,1,410,8,5,1,13,11,0,6,43,16,16,50,N/a,N/a,N/a,N/a
Ayden Heaven,engENG,Manchester Utd,DF,18-228,2,95,0,0,0,0,0,0,1,2,1,0,0,0,0,N/a,0,N/a,N/a,40,81.6,695,14,88.9,33.3,0,2,0,0,2,2,1.89,0,0,3,3,2,0,2,2,0,1,67,21,42,23,3,1,2,100,0,42,122,1,1,0,2,1,40,1,0,0,2,3,0,0,4,1,2,33.3,N/a,N/a,N/a,N/a
Bart Verbruggen,nlNED,Brighton,GK,22-263,33,2970,0,1,5,0,0,0,0,2,0,0,0.03,0,0,N/a,0,N/a,N/a,938,76.9,22231,267,98.2,45.9,1,18,1,0,2,5,0.15,1,0.03,0,0,3,3,1,0,1,0,1304,1034,1291,13,0,0,2,100,0,879,1673,0,1,1,2,0,836,0,5,0,0,2,0,0,58,10,1,90.9,1.67,64.7,18.2,0
Ben Brereton,clCHI,Southampton,FW,26-020,10,449,0,0,1,0,0.9,0.1,12,9,42,0,0,0.18,0.02,9.1,0.2,0,17.3,128,77.1,1836,83,67.9,63.6,3,9,2,1,9,9,1.8,0,0,3,2,9,8,2,1,1,0,206,4,19,76,112,20,4,25,50,136,394,12,13,4,9,4,171,42,1,0,4,8,1,5,16,9,7,56.3,N/a,N/a,N/a,N/a
Ben Chilwell,engENG,Crystal Palace,DF,28-138,6,139,0,0,1,0,0.1,0.2,2,3,10,0,0,0.05,0.13,50,0.65,0,27.6,45,65.2,618,26,64,11.1,2,4,2,0,3,3,1.93,0,0,4,4,3,3,3,1,2,4,98,6,35,43,25,1,5,40,40,39,146,2,1,0,2,2,42,10,1,0,2,2,2,3,12,3,3,50,N/a,N/a,N/a,N/a
Ben Davies,wlsWAL,Tottenham,DF,32-014,14,1126,0,0,4,0,0.3,0.2,14,50,6,0,0,0.02,0.02,20,0.08,0,17,797,88,14950,267,94.3,63.1,2,43,2,0,50,8,0.64,0,0,14,10,14,7,24,16,8,12,1045,178,549,451,45,12,1,100,0,588,1701,14,10,0,4,0,699,6,4,0,14,6,0,4,36,47,38,55.3,N/a,N/a,N/a,N/a
Ben Godfrey,engENG,Ipswich Town,DF,27-113,3,159,0,0,1,0,0,0,2,4,1,0,0,0,0,N/a,0,N/a,N/a,47,82.5,657,30,88.9,N/a,0,5,1,0,4,1,0.57,0,0,1,0,1,0,1,1,0,2,68,6,26,33,9,1,0,N/a,N/a,33,79,2,2,0,2,1,42,1,1,0,1,0,0,0,2,3,0,100,N/a,N/a,N/a,N/a
Ben Johnson,engENG,Ipswich Town,"DF,FW",25-104,22,1348,1,2,5,1,1.1,1.3,16,26,33,0.07,0.13,0.07,0.09,42.9,0.2,0.14,12.6,296,71.5,4812,168,74.8,49,12,21,3,2,26,23,1.54,5,0.33,38,22,41,21,22,5,17,13,624,60,245,219,163,12,24,33.3,58.3,259,585,16,12,3,23,17,290,33,5,1,27,6,1,37,57,19,18,51.4,N/a,N/a,N/a,N/a
Ben Mee,engENG,Brentford,DF,35-229,7,183,0,0,2,0,0,0,3,11,2,0,0,0,0,N/a,0,N/a,N/a,93,77.5,1751,34,85,40,0,10,0,0,11,0,0,0,0,2,2,1,0,3,3,0,4,138,18,66,62,11,3,0,N/a,N/a,78,274,3,1,1,0,0,86,2,2,0,5,0,0,0,11,5,5,50,N/a,N/a,N/a,N/a
Ben White,engENG,Arsenal,DF,27-212,14,941,0,1,2,0,0.4,0.8,11,44,28,0,0.1,0.04,0.08,14.3,0.1,0,19.1,449,83.6,7272,230,84.6,48.9,7,39,8,1,44,16,1.53,1,0.1,13,9,28,17,9,7,2,15,633,46,183,289,165,20,4,0,75,292,622,11,11,3,8,4,375,28,2,0,8,4,1,10,26,15,5,75,N/a,N/a,N/a,N/a
Benoît Badiashile,frFRA,Chelsea,DF,24-043,5,334,0,0,0,0,0,0,3,17,2,0,0,0,0,N/a,0,N/a,N/a,273,89.8,4820,111,93.8,65.6,0,37,1,0,17,0,0,0,0,9,6,5,1,2,2,0,6,336,31,138,186,13,0,1,0,100,177,340,3,5,0,1,0,247,2,0,0,6,2,0,0,18,8,2,80,N/a,N/a,N/a,N/a
Bernardo Silva,ptPOR,Manchester City,"MF,FW",30-271,30,2401,3,4,7,0,3.2,4.4,94,115,184,0.11,0.15,0.12,0.16,35.7,0.37,0.11,12.9,1370,87.1,20876,765,88.4,66.7,47,75,33,7,115,83,3.11,8,0.3,52,34,52,28,33,7,26,20,1816,48,318,739,777,131,59,45.8,42.4,1137,3650,94,60,31,21,32,1346,184,7,0,26,29,3,54,93,5,10,33.3,N/a,N/a,N/a,N/a
Bernd Leno,deGER,Fulham,GK,33-065,35,3150,0,1,4,0,0,0.1,0,0,0,0,0.03,0,0,N/a,0,N/a,N/a,1060,81.5,25878,210,98.9,47.5,2,16,2,0,0,5,0.14,2,0.06,2,2,2,0,1,0,1,0,1364,1097,1354,10,0,0,0,N/a,N/a,892,2023,0,0,0,0,0,799,0,4,0,0,3,0,0,48,9,0,100,1.34,68.3,14.3,0
Beto,gwGNB,Everton,FW,27-097,27,1268,7,0,2,0,6.6,0.8,12,10,66,0.5,0,0.47,0.06,50,1.42,0.18,13.2,124,57.1,1676,74,50,87.5,8,5,4,1,10,17,1.21,0,0,14,6,8,3,8,1,7,3,429,22,43,188,204,72,32,53.1,43.8,221,390,12,9,9,59,33,309,66,2,0,30,18,14,3,30,78,92,45.9,N/a,N/a,N/a,N/a
Bilal El Khannouss,maMAR,Leicester City,MF,20-363,30,2003,2,3,4,0,1.1,4.1,71,119,83,0.09,0.13,0.05,0.18,21.4,0.27,0.07,22.3,735,75.2,13072,346,80.6,57,36,83,28,6,119,66,2.97,5,0.22,46,26,28,13,21,4,17,6,1172,17,166,602,416,33,53,56.6,37.7,679,1949,71,42,12,36,36,788,83,4,0,28,11,1,83,84,19,20,48.7,N/a,N/a,N/a,N/a
Billy Gilmour,sctSCO,Brighton,MF,23-331,2,98,0,0,0,0,0.1,0,2,11,2,0,0,0.07,0,0,0,0,25.5,58,86.6,980,36,81.8,57.1,0,12,2,0,11,3,2.76,0,0,3,3,4,1,1,0,1,0,73,2,14,46,13,0,2,50,50,44,117,2,0,0,0,0,58,2,0,0,2,3,0,1,5,0,0,N/a,N/a,N/a,N/a,N/a
Bobby De Cordova-Reid,jmJAM,Leicester City,FW,32-095,23,744,1,2,2,0,0.8,1.2,14,15,48,0.12,0.24,0.1,0.15,42.9,0.36,0.14,25.1,145,70.4,1883,88,73.6,33.3,6,9,5,0,15,13,1.57,3,0.36,9,4,14,10,6,1,5,0,272,15,49,114,109,16,10,0,80,174,389,14,5,6,11,10,188,48,2,0,9,9,4,15,29,6,14,30,N/a,N/a,N/a,N/a
