Player,stats_standard_Nation,stats_standard_Squad,stats_standard_Position,stats_standard_Current age,stats_standard_Matches Played,stats_standard_Minutes,stats_standard_Goals,stats_standard_Assists,stats_standard_Yellow Cards,stats_standard_Red Cards,stats_standard_xG: Expected Goals,stats_standard_xAG: Exp. Assisted Goals,stats_standard_Progressive Carries,stats_standard_Progressive Passes,stats_standard_Progressive Passes Rec,stats_standard_Goals/90,stats_standard_Assists/90,stats_standard_xG/90,stats_standard_xAG/90,stats_shooting_Shots on Target %,stats_shooting_Shots on target/90,stats_shooting_Goals/Shot,stats_shooting_Average Shot Distance,stats_passing_Passes Completed,stats_passing_Pass Completion %,stats_passing_Total Passing Distance,stats_passing_Passes Completed (Short),stats_passing_Pass Completion % (Medium),stats_passing_Pass Completion % (Long),stats_passing_Key Passes,stats_passing_Passes into Final Third,stats_passing_Passes into Penalty Area,stats_passing_Crosses into Penalty Area,stats_passing_Progressive Passes,stats_gca_Shot-Creating Actions,stats_gca_Shot-Creating Actions/90,stats_gca_Goal-Creating Actions,stats_gca_Goal-Creating Actions/90,stats_defense_Tackles,stats_defense_Tackles Won,stats_defense_Dribbles Challenged,stats_defense_Challenges Lost,stats_defense_Blocks,stats_defense_Shots Blocked,stats_defense_Passes Blocked,stats_defense_Interceptions,stats_possession_Touches,stats_possession_Touches (Def Pen),stats_possession_Touches (Def 3rd),stats_possession_Touches (Mid 3rd),stats_possession_Touches (Att 3rd),stats_possession_Touches (Att Pen),stats_possession_Take-Ons Attempted,stats_possession_Successful Take-On %,stats_possession_Tackled During Take-On Percentage,stats_possession_Carries,stats_possession_Progressive Carrying Distance,stats_possession_Progressive Carries,stats_possession_Carries into Final Third,stats_possession_Carries into Penalty Area,stats_possession_Miscontrols,stats_possession_Dispossessed,stats_possession_Passes Received,stats_possession_Progressive Passes Rec,stats_misc_Yellow Cards,stats_misc_Red Cards,stats_misc_Fouls Committed,stats_misc_Fouls Drawn,stats_misc_Offsides,stats_misc_Crosses,stats_misc_Ball Recoveries,stats_misc_Aerials Won,stats_misc_Aerials Lost,stats_misc_% of Aerials Won,stats_keeper_Goals Against/90,stats_keeper_Save Percentage,stats_keeper_Clean Sheet Percentage,stats_keeper_Save% (Penalty Kicks),player_name,team,price,skill/pot
santiago bueno,uyURU,Wolves,DF,26-180,28,1683,0,0,2,0,0.4,0,1,28,1,0,0,0.02,0,50,0.16,0,14,741,88,13598,260,93.9,56,0,24,2,0,28,12,0.64,4,0.21,40,21,22,5,35,20,15,15,1023,169,520,485,21,6,4,0,100,555,1430,1,2,0,2,2,660,1,2,0,26,5,0,0,43,35,31,53,N/a,N/a,N/a,N/a,santiago bueno,Wolverhampton,€11.2M,68.6/71.2
saša lukić,rsSRB,Fulham,MF,28-268,28,2169,0,2,12,0,1.2,2.6,37,92,29,0,0.08,0.05,0.11,11.8,0.08,0,20.1,1027,87.7,17364,486,92,70.3,23,97,15,6,92,50,2.08,3,0.12,66,37,53,32,19,7,12,26,1394,50,303,797,307,18,17,47.1,29.4,775,2083,37,39,4,22,8,897,29,12,0,62,26,0,55,107,18,24,42.9,N/a,N/a,N/a,N/a,saša lukić,Fulham,€12.1M,72.1/72.1
sepp van den berg,nlNED,Brentford,DF,23-139,28,2316,0,0,2,0,1.7,0.5,10,72,27,0,0,0.07,0.02,31.3,0.19,0,10.6,958,84.7,16548,415,89.1,62.5,5,57,3,1,72,21,0.82,2,0.08,37,22,27,9,50,36,14,20,1430,252,728,547,159,42,7,57.1,42.9,636,1663,10,9,1,14,7,806,27,2,0,20,5,1,7,87,84,66,56,N/a,N/a,N/a,N/a,sepp van den berg,Brentford,€26.4M,71.5/79.4
simon adingra,ciCIV,Brighton,"FW,MF",23-127,26,956,2,1,0,0,2.2,1.8,37,14,119,0.19,0.09,0.21,0.17,28,0.66,0.08,16.2,255,76.1,3699,160,74,55.6,13,5,12,5,14,39,3.68,7,0.66,23,14,22,12,12,0,12,8,488,8,63,158,272,64,48,43.8,56.3,324,1042,37,17,20,35,11,341,119,0,0,11,3,2,35,41,6,3,66.7,N/a,N/a,N/a,N/a,simon adingra,Brighton,€34M,67.6/75.0
stefan ortega,deGER,Manchester City,GK,32-183,13,1100,0,0,1,0,0,0,0,0,0,0,0,0,0,N/a,0,N/a,N/a,373,81.3,8327,102,96.9,51.3,0,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,492,383,489,3,0,0,0,N/a,N/a,323,864,0,0,0,0,0,309,0,1,0,1,2,0,0,8,2,0,100,1.47,68,25,0,stefan ortega,Man City,€5.8M,61.7/61.7
stephy mavididi,engENG,Leicester City,FW,26-342,30,1615,4,1,2,0,1.8,2.6,91,57,138,0.22,0.06,0.1,0.15,26.9,0.39,0.15,16.1,460,75,6191,286,67.4,41.9,22,32,26,7,57,50,2.78,7,0.39,34,19,42,28,26,2,24,11,863,23,132,327,421,61,95,36.8,49.5,583,2355,91,40,27,39,35,623,138,2,0,18,18,3,69,83,9,15,37.5,N/a,N/a,N/a,N/a,stephy mavididi,Leicester,€12.9M,66.8/70.1
sávio,brBRA,Manchester City,"FW,MF",21-028,27,1734,1,8,3,0,4.9,6.8,133,66,239,0.05,0.42,0.25,0.35,38.9,1.09,0.02,17.7,676,80.9,10078,412,80.1,57.4,44,19,47,8,66,107,5.55,15,0.78,22,16,18,9,13,2,11,6,1071,14,55,281,754,149,111,45.9,35.1,766,3494,133,44,73,42,37,834,239,3,0,17,27,3,81,79,1,2,33.3,N/a,N/a,N/a,N/a,sávio,Man City,€74.8M,77.8/91.6
taylor harwood-bellis,engENG,Southampton,DF,23-098,32,2654,1,0,9,0,1.8,1,29,119,9,0.03,0,0.06,0.03,40,0.27,0.05,10.6,1807,87.9,33577,655,91.8,64.4,14,171,10,1,119,37,1.25,2,0.07,27,19,34,15,60,38,22,30,2349,313,1089,1092,178,40,3,100,0,1361,3731,29,27,0,15,5,1704,9,9,0,34,14,0,10,120,56,42,57.1,N/a,N/a,N/a,N/a,taylor harwood-bellis,Southampton,€29.9M,66.9/79.9
thomas partey,ghGHA,Arsenal,"MF,DF",31-329,32,2527,4,2,4,0,2,1.9,32,171,47,0.14,0.07,0.07,0.07,30.4,0.25,0.17,19.5,1525,87.3,24370,798,88.6,66.4,17,151,33,2,171,58,2.07,13,0.46,80,49,72,28,25,7,18,33,1989,66,418,1098,485,28,33,66.7,27.3,1125,3235,32,37,3,22,16,1416,47,4,0,40,28,1,12,123,26,22,54.2,N/a,N/a,N/a,N/a,thomas partey,Arsenal,€15.2M,77.2/77.2
timothy castagne,beBEL,Fulham,DF,29-154,24,1649,0,1,1,0,0.4,1.2,17,62,67,0,0.05,0.02,0.07,37.5,0.16,0,14,780,81.8,12441,397,85.9,49.3,9,51,5,3,62,25,1.36,3,0.16,46,29,45,19,15,6,9,22,1164,92,449,462,259,32,12,41.7,41.7,547,1044,17,15,2,15,5,665,67,1,0,15,6,1,37,57,34,35,49.3,N/a,N/a,N/a,N/a,timothy castagne,Fulham,€17.4M,75.9/75.9
