Player,stats_standard_Nation,stats_standard_Squad,stats_standard_Position,stats_standard_Current age,stats_standard_Matches Played,stats_standard_Minutes,stats_standard_Goals,stats_standard_Assists,stats_standard_Yellow Cards,stats_standard_Red Cards,stats_standard_xG: Expected Goals,stats_standard_xAG: Exp. Assisted Goals,stats_standard_Progressive Carries,stats_standard_Progressive Passes,stats_standard_Progressive Passes Rec,stats_standard_Goals/90,stats_standard_Assists/90,stats_standard_xG/90,stats_standard_xAG/90,stats_shooting_Shots on Target %,stats_shooting_Shots on target/90,stats_shooting_Goals/Shot,stats_shooting_Average Shot Distance,stats_passing_Passes Completed,stats_passing_Pass Completion %,stats_passing_Total Passing Distance,stats_passing_Passes Completed (Short),stats_passing_Pass Completion % (Medium),stats_passing_Pass Completion % (Long),stats_passing_Key Passes,stats_passing_Passes into Final Third,stats_passing_Passes into Penalty Area,stats_passing_Crosses into Penalty Area,stats_passing_Progressive Passes,stats_gca_Shot-Creating Actions,stats_gca_Shot-Creating Actions/90,stats_gca_Goal-Creating Actions,stats_gca_Goal-Creating Actions/90,stats_defense_Tackles,stats_defense_Tackles Won,stats_defense_Dribbles Challenged,stats_defense_Challenges Lost,stats_defense_Blocks,stats_defense_Shots Blocked,stats_defense_Passes Blocked,stats_defense_Interceptions,stats_possession_Touches,stats_possession_Touches (Def Pen),stats_possession_Touches (Def 3rd),stats_possession_Touches (Mid 3rd),stats_possession_Touches (Att 3rd),stats_possession_Touches (Att Pen),stats_possession_Take-Ons Attempted,stats_possession_Successful Take-On %,stats_possession_Tackled During Take-On Percentage,stats_possession_Carries,stats_possession_Progressive Carrying Distance,stats_possession_Progressive Carries,stats_possession_Carries into Final Third,stats_possession_Carries into Penalty Area,stats_possession_Miscontrols,stats_possession_Dispossessed,stats_possession_Passes Received,stats_possession_Progressive Passes Rec,stats_misc_Yellow Cards,stats_misc_Red Cards,stats_misc_Fouls Committed,stats_misc_Fouls Drawn,stats_misc_Offsides,stats_misc_Crosses,stats_misc_Ball Recoveries,stats_misc_Aerials Won,stats_misc_Aerials Lost,stats_misc_% of Aerials Won,stats_keeper_Goals Against/90,stats_keeper_Save Percentage,stats_keeper_Clean Sheet Percentage,stats_keeper_Save% (Penalty Kicks),player_name,team,price,skill/pot
virgil van dijk,nlNED,Liverpool,DF,33-304,35,3150,3,1,4,0,2.2,0.7,18,180,6,0.09,0.03,0.06,0.02,29.6,0.23,0.11,13.1,2543,91.6,46352,1042,95.5,67.2,12,269,6,0,180,47,1.34,4,0.11,35,17,20,9,25,14,11,54,3125,425,1257,1719,159,48,5,60,40,1746,4531,18,22,3,9,5,2153,6,4,0,16,12,0,1,110,111,46,70.7,N/a,N/a,N/a,N/a,virgil van dijk,Liverpool,€24.3M,79.8/80.3
vitaliy mykolenko,uaUKR,Everton,DF,25-344,32,2812,0,1,3,0,0.4,1.6,31,105,90,0,0.03,0.01,0.05,0,0,0,20.5,908,74.4,15184,467,74.2,44.7,20,96,37,22,105,38,1.22,3,0.1,55,33,51,25,24,9,15,37,1541,115,480,656,416,30,20,40,45,636,1432,31,27,1,21,10,783,90,3,0,20,28,3,91,79,46,36,56.1,N/a,N/a,N/a,N/a,vitaliy mykolenko,Everton,€33.5M,75.7/77.8
vitaly janelt,deGER,Brentford,MF,26-363,32,2254,1,3,3,0,0.8,2.2,17,80,38,0.04,0.12,0.03,0.09,28.6,0.16,0.07,17.7,872,82.5,14466,443,85.4,55.9,14,78,23,7,80,32,1.28,3,0.12,38,22,36,15,33,9,24,27,1289,118,418,574,306,32,12,25,58.3,652,1278,17,18,3,16,10,814,38,3,0,24,15,1,30,107,19,11,63.3,N/a,N/a,N/a,N/a,vitaly janelt,Brentford,€27.1M,77.0/77.8
wes burns,wlsWAL,Ipswich Town,"FW,DF",30-166,18,926,0,1,1,0,0.5,1.6,38,8,65,0,0.1,0.05,0.16,14.3,0.1,0,18.3,153,60.5,2416,82,65.4,38.9,10,8,8,7,8,16,1.55,1,0.1,13,11,10,6,7,2,5,10,350,21,69,129,160,18,24,37.5,58.3,216,696,38,13,10,17,13,220,65,1,0,4,11,0,46,50,8,21,27.6,N/a,N/a,N/a,N/a,wes burns,Ipswich Town,€2.1M,64.4/64.4
wesley fofana,frFRA,Chelsea,DF,24-142,14,1172,0,0,7,0,0.4,0.4,19,32,4,0,0,0.03,0.03,0,0,0,10.6,724,90.2,12262,306,92.5,61.9,6,54,1,0,32,15,1.15,0,0,13,12,14,8,14,9,5,14,933,81,370,523,55,10,15,53.3,20,557,1614,19,12,1,16,5,665,4,7,0,24,16,0,1,54,27,12,69.2,N/a,N/a,N/a,N/a,wesley fofana,Chelsea,€30.3M,72.6/77.7
wilfred ndidi,ngNGA,Leicester City,MF,28-143,26,2147,0,4,8,0,2,1.8,17,65,75,0,0.17,0.09,0.08,36.4,0.34,0,13.9,775,80.3,11104,423,82.1,54.5,15,62,10,3,65,27,1.13,3,0.13,81,50,54,27,47,19,28,26,1298,113,430,634,246,60,32,40.6,53.1,628,1029,17,23,2,34,33,772,75,8,0,39,17,3,30,121,55,55,50,N/a,N/a,N/a,N/a,wilfred ndidi,Leicester,€20.3M,69.3/70.8
will hughes,engENG,Crystal Palace,MF,30-021,30,1899,0,3,11,0,1,2.7,19,83,24,0,0.14,0.05,0.13,5,0.05,0,22.5,672,75.8,10702,342,82.5,35.8,29,69,14,3,83,61,2.89,6,0.28,61,33,59,32,30,14,16,19,1096,42,259,562,287,15,14,28.6,42.9,478,1132,19,22,1,20,24,606,24,11,0,60,30,0,68,110,17,17,50,N/a,N/a,N/a,N/a,will hughes,C. Palace,€11.1M,72.5/72.5
william saliba,frFRA,Arsenal,DF,24-045,33,2904,2,0,2,1,2.3,0.9,16,134,6,0.06,0,0.07,0.03,33.3,0.06,0.33,5.4,2320,94.2,39927,978,96,79.9,7,175,6,0,134,26,0.81,1,0.03,60,36,27,6,24,15,9,21,2717,178,1072,1519,141,18,19,63.2,31.6,1675,4013,16,17,1,18,7,2056,6,2,1,28,17,1,3,146,58,35,62.4,N/a,N/a,N/a,N/a,william saliba,Arsenal,€79.5M,88.9/96.7
wout faes,beBEL,Leicester City,DF,27-035,31,2545,1,0,4,0,1.4,0.1,12,80,1,0.04,0,0.05,0,9.1,0.04,0.09,10,1252,87.7,23226,481,95,53.7,4,79,6,0,80,17,0.6,0,0,39,23,43,20,45,33,12,26,1735,277,852,824,67,26,6,83.3,16.7,1011,2703,12,13,2,16,6,1154,1,4,0,21,10,1,5,87,41,34,54.7,N/a,N/a,N/a,N/a,wout faes,Leicester,€25M,67.2/70.8
yankuba minteh,gmGAM,Brighton,"FW,MF",20-290,29,1587,6,4,6,0,4,4.7,71,40,163,0.34,0.23,0.22,0.27,50,0.85,0.2,13.5,297,62.3,4794,170,61.9,47.5,25,13,29,8,40,54,3.07,11,0.62,45,32,45,28,20,0,20,11,723,30,129,204,408,121,84,47.6,44,410,1768,71,19,56,44,21,423,163,6,0,20,10,4,76,75,16,32,33.3,N/a,N/a,N/a,N/a,yankuba minteh,Brighton,€42.6M,74.0/85.6
yasin ayari,seSWE,Brighton,MF,21-214,31,1759,1,1,3,0,2.2,2.2,30,69,59,0.05,0.05,0.11,0.11,28,0.36,0.04,19,713,81.2,10693,419,84.7,37.1,28,52,17,4,69,58,2.97,6,0.31,54,29,51,30,23,6,17,20,1119,52,247,569,320,43,41,41.5,36.6,585,1398,30,25,6,34,21,716,59,3,0,33,23,3,64,107,14,20,41.2,N/a,N/a,N/a,N/a,yasin ayari,Brighton,€21.4M,67.1/79.5
yehor yarmoliuk,uaUKR,Brentford,MF,21-068,28,1196,0,0,5,0,0.6,0.9,15,52,44,0,0,0.05,0.07,22.2,0.15,0,15.9,535,85.5,9305,266,88.4,83.8,9,62,7,4,52,22,1.66,2,0.15,39,24,46,23,24,7,17,10,794,52,219,411,179,15,21,47.6,42.9,410,748,15,17,3,24,16,493,44,5,0,13,9,2,16,92,8,7,53.3,N/a,N/a,N/a,N/a,yehor yarmoliuk,Brentford,€18M,65.9/75.9
yoane wissa,cdCOD,Brentford,FW,28-247,32,2650,18,3,2,0,16.5,1.8,51,57,135,0.61,0.1,0.56,0.06,46.3,1.26,0.23,13.4,408,76.1,5924,252,75.3,57.8,23,41,9,1,57,61,2.07,8,0.27,22,12,27,16,29,8,21,8,850,32,130,348,387,147,45,28.9,51.1,497,1452,51,23,28,70,29,599,135,2,0,28,47,14,20,67,29,34,46,N/a,N/a,N/a,N/a,yoane wissa,Brentford,€31.4M,76.7/76.7
youri tielemans,beBEL,Aston Villa,MF,28-001,35,2997,3,7,4,0,3.1,6.9,39,234,48,0.09,0.21,0.09,0.21,31.6,0.36,0.08,20.3,1679,82.1,28817,779,87.4,54.1,59,228,37,4,234,119,3.57,12,0.36,83,57,73,33,37,16,21,22,2361,100,472,1357,557,42,60,51.7,30,1275,2541,39,26,9,30,29,1654,48,4,0,41,56,0,118,145,22,18,55,N/a,N/a,N/a,N/a,youri tielemans,Aston Villa,€41.5M,79.1/79.9
yukinari sugawara,jpJPN,Southampton,"DF,MF",24-314,29,1467,1,1,4,0,0.5,2.2,32,68,76,0.06,0.06,0.03,0.14,38.5,0.31,0.08,19.2,689,79.9,10831,366,82.9,47.9,17,43,21,9,68,39,2.39,1,0.06,29,16,30,12,17,7,10,10,1023,61,306,395,327,29,20,45,50,553,1354,32,15,7,18,4,692,76,4,0,15,9,4,69,40,5,9,35.7,N/a,N/a,N/a,N/a,yukinari sugawara,Southampton,€15.7M,65.6/72.2
yves bissouma,mlMLI,Tottenham,MF,28-251,25,1300,2,0,7,0,0.6,0.3,15,72,3,0.14,0,0.04,0.02,36.4,0.28,0.18,23.4,717,89.2,10833,394,92.9,63.2,6,59,10,1,72,15,1.04,0,0,47,29,33,15,9,6,3,16,981,63,282,554,151,5,21,33.3,66.7,577,1526,15,17,0,25,15,669,3,7,0,23,18,0,2,78,5,7,41.7,N/a,N/a,N/a,N/a,yves bissouma,Tottenham,€29.8M,71.4/71.7
álex moreno,esESP,Nott'ham Forest,"DF,MF",31-334,15,955,0,1,2,0,0.2,1.3,26,34,34,0,0.09,0.02,0.12,0,0,0,23.7,308,72,4574,184,64.2,35,8,25,9,2,34,16,1.51,2,0.19,25,18,39,24,11,5,6,15,559,60,210,202,158,8,21,38.1,38.1,229,864,26,16,4,13,6,258,34,2,0,12,6,0,19,50,3,11,21.4,N/a,N/a,N/a,N/a,álex moreno,Nottingham,€11M,68.5/69.2
i̇lkay gündoğan,deGER,Manchester City,MF,34-196,31,2050,0,5,1,0,2.7,2.8,57,115,86,0,0.22,0.12,0.12,20,0.22,0,18.3,1408,89.3,21666,803,91.9,62.9,37,97,21,2,115,74,3.25,11,0.48,24,13,23,13,14,0,14,13,1748,43,256,848,664,60,35,45.7,37.1,1035,2813,57,52,9,27,24,1366,86,1,0,15,21,0,57,105,13,11,54.2,N/a,N/a,N/a,N/a,i̇lkay gündoğan,Man City,€12.1M,81.2/81.2
łukasz fabiański,plPOL,West Ham,GK,40-020,13,1070,0,0,2,0,0,0,0,0,0,0,0,0,0,N/a,0,N/a,N/a,304,67,8756,53,99.3,41.3,0,4,0,0,0,3,0.25,0,0,0,0,1,1,0,0,0,0,488,382,483,5,0,0,2,100,0,258,845,0,0,0,0,0,227,0,2,0,2,1,0,0,5,2,1,66.7,1.68,74.6,16.7,0,łukasz fabiański,West Ham United,€0.9M,64.4/64.4
